rank,hkm_id,formula_id,length,formula,atom_ids,features,source_pattern_ids,train_dedup_support0_excluding_sources,train_dedup_support1_excluding_sources,train_dedup_precision0_excluding_sources,train_dedup_precision1_excluding_sources,train_dedup_recall0_excluding_sources,train_dedup_recall1_excluding_sources,train_precision0_recall0_mean,test_support0,test_support1,test_precision0,test_precision1,test_recall0,test_recall1
3521,len4__admissions__albumin__total_bilirubin__urea__combo76222__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_18892"", ""atom_240338"", ""atom_205480""]","[""admissions"", ""albumin"", ""total_bilirubin"", ""urea""]","[""pattern_5"", ""pattern_4110"", ""pattern_59900"", ""pattern_50496""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3522,len4__admissions__albumin__neutrophils__total_bilirubin__combo54731__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_101423"", ""atom_118280"", ""atom_192123""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_23579"", ""pattern_27842"", ""pattern_46911""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,8,0.8918918918918919,0.10810810810810811,0.33,0.008648648648648649
3523,len4__admissions__albumin__neutrophils__total_bilirubin__combo57420__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_112885"", ""atom_118280"", ""atom_104379""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_26428"", ""pattern_27842"", ""pattern_24318""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3524,len4__admissions__albumin__neutrophils__total_bilirubin__combo60121__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_123622"", ""atom_118280"", ""atom_10651""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_29199"", ""pattern_27842"", ""pattern_2311""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,8,0.8918918918918919,0.10810810810810811,0.33,0.008648648648648649
3525,len4__admissions__albumin__neutrophils__total_bilirubin__combo60127__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_123622"", ""atom_118280"", ""atom_156365""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_29199"", ""pattern_27842"", ""pattern_37575""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
3526,len4__admissions__albumin__neutrophils__total_bilirubin__combo60131__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_123622"", ""atom_118280"", ""atom_192123""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_29199"", ""pattern_27842"", ""pattern_46911""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,8,0.8918918918918919,0.10810810810810811,0.33,0.008648648648648649
3527,len4__admissions__albumin__neutrophils__total_bilirubin__combo61031__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_124618"", ""atom_118280"", ""atom_192123""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_29441"", ""pattern_27842"", ""pattern_46911""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,9,0.88,0.12,0.33,0.00972972972972973
3528,len4__admissions__albumin__neutrophils__total_bilirubin__combo69131__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_151746"", ""atom_118280"", ""atom_192123""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_36400"", ""pattern_27842"", ""pattern_46911""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,5,0.9295774647887324,0.07042253521126761,0.33,0.005405405405405406
3529,len4__admissions__albumin__neutrophils__total_bilirubin__combo70927__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_164092"", ""atom_118280"", ""atom_156365""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_39607"", ""pattern_27842"", ""pattern_37575""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
3530,len4__admissions__albumin__neutrophils__total_bilirubin__combo70941__tmpl17,len4_0018,4,(((x1 OR x2) OR x3) AND NOT x4),"[""atom_32"", ""atom_164092"", ""atom_118280"", ""atom_249526""]","[""admissions"", ""albumin"", ""neutrophils"", ""total_bilirubin""]","[""pattern_5"", ""pattern_39607"", ""pattern_27842"", ""pattern_62421""]",323,36,0.8997214484679665,0.10027855153203342,0.3738425925925926,0.009917355371900827,0.6367820205302795,66,7,0.9041095890410958,0.0958904109589041,0.33,0.0075675675675675675
